address1,voice,Number of employees,address2,address3,city,state,postal_code,country,web,NAICS-Description,NAICS-Number,Additional Comment,Lead Origin,Notes,temp_cntct_id
Deccofelt Corporation,(800) 543 3226,,,,Glendora (CA),California,,United States,www.deccofelt.com,,,,LF,;;;;;;;;;,253
Decor Products Inc,(888) 688 6396,,1201 Decor Drive,,Wausaukee,Wisconsin,54177,United States,www.decorproducts.com,Manufacturing,,,LF,;;;;;;;;;,254
Deerpoint Group Inc,(800) 969 8458,,1963 Independence,,Madera,California,93637,United States,www.thedeerpointgroup.com,Consumer Goods,,1993,LF,";sound Whitney-like?missy;;;;;;;;",255
Dekra-Lite Canada,(604) 683 5483,,,,Port Coquitlam (BC),,,Canada,www.dekralite.com,,,,LF,;;;;;;;;;,256
Del Sol Food Company Inc,(979) 836 5978,,3015 S Blue Bell Rd,,Brenham,Texas,77833,United States,www.briannas.com,Food and Beverages,0,,LF,";Jerry Brown owner info@briannassaladdressing.cominvite to https://xtuple.com/roadshow-houston;;;;;;;;",257
Design Distributors Inc,(631) 242 2000,100-199,300 Marcus Blvd,,Deer Park,New York,11729,United States,www.designdistributors.com,Manufacturing,267701,1966,LF,;;;;;;;;;,258
Devon Energy Corporation,(405) 235 3611,"2,000+",333 W Sheridan Ave,,Oklahoma City,Oklahoma,73102,United States,www.devonenergy.com,Oil and Energy,71129,1971,LF,;;;;;;;;;,259
Diamond Gear Company Ltd,(877) 811 4258,21-49,7505 Bluff Point Drive,Suite 150,Houston,Texas,77086,United States,www.diamond-gear.com,Manufacturing,0,1999,LF,"Philia Lijdsman General Manager PLijdsman@newdellco.com 281.686.9961;;mfgmissy;;;;;;;",260
Diamond Moba Americas,(248) 476 7100,500-999,23400 Haggerty Rd,,Farmington Hills,Michigan,48335,United States,www.moba.net,Manufacturing,,1947,LF,;;;;;;;;;,261
Diamond Products,(800) 321 5336,200-499,333 Prospect St,,Elyria,Ohio,44035,United States,www.diamondproducts.com,Manufacturing,71129,1964,LF,;;;;;;;;;,262
Digatron Power Electronics Inc,(203) 446 8000,100-199,50 Waterview Drive,,Shelton,Connecticut,6484,United States,www.digatron.com,Electrical/Electronic Manufacturing,,1968,LF,;;;;;;;;;,263
Digi International Inc,(877) 912 3444,500-999,11001 Bren Road East,,Minnetonka,Minnesota,55343,United States,www.digi.com,Telecommunications,,1985,LF,;;;;;;;;;,264
Digi Key Electronics,(800) 344 4539,"2,000+",701 Brooks Avenue South,,Thief River Falls,Minnesota,56701,United States,www.digikey.com,Electrical/Electronic Manufacturing,,1972,LF,;;;;;;;;;,265
Digital District,(514( 932 4191,,,,Montr_al (QC),,,Canada,www.digital-district.fr,,,,LF,;using older pre-key version of PostBooks - no contact info for this company - please collect as much as possible;;;;;;;;,266
Display Logic USA,(631) 406 1922,21-49,40 Oser Ave,Suite 3,Hauppage,New York,11788,United States,www.displaylogic.com,Electrical/Electronic Manufacturing,,2007,LF,;;;;;;;;;,267
Distek Inc,(732) 422 7585,100-199,121 North Center Drive,,North Brunswick,New Jersey,8902,United States,www.distekinc.com,Pharmaceuticals,,1976,LF,;;;;;;;;;,268
DistributionNOW,(800) 228 2893,"2,000+",7402 N Eldridge Pkwy,,Houston,Texas,77041,United States,www.distributionnow.com,Oil and Energy,,1862,LF,Matt Oglesby VP IT Matt@distributionnow.com; Robert Workman Pres/CEO;;;;;;;;;,269
DiversiFoam Products,(763) 477 5854,100-199,9091 County Road 50,,Rockford,Minnesota,55373,United States,www.diversifoam.com,Plastics,0,1966,LF,;Mike Truebenbach mtrueben@diversifoam.com;Steve Slavik; Operations Mgr (or CEO per Data.com); Kurt Kessler Plant Mgr; Rebecca Coyle; CIO;Looking for a contact to reach out to. Thanks! - Cam;;;;;;,270
Dixie USA EMS Supply Company,(800) 347 3494,20-Jan,10101 Foster Ave,,Brooklyn,New York,11236,United States,www.dixieems.com,Wholesalers,,,LF,;;;;;;;;;,271
DJO Global,(760) 727 1280,"2,000+",1430 Decision St,,Vista,California,92081,United States,www.djoglobal.com,Medical Supplies and Equipment,78300,1978,LF,Switched to the admin asst of the IT dept they would not put me through to the manager.;;;;;;;;;,272
dlhBOWLES,(330) 478 2503,500-999,2422 Leo Ave SW,,Canton,Ohio,44706,United States,www.dlhbowles.com,Manufacturing,66190,1975,LF,";found us using a private search engine so no idea what keyword they used missy;;;;;;;;",273
Dorfin,(888) 936 7346,,,,St Laurent (QC),,,Canada,www.dorfin.com,,,,LF,;;;;;;;;;,274
DORMA Americas,(866) 401 6063,"2,000+",100 Dorma Dr,,Reamstown,Pennsylvania,17567,United States,www.dorma.com,Building Materials and Tools,0,1908,LF,";MFG--rick;David Lui - MGR IT InfrastructureTad Achenbach - Materials/Production & Inventory Control MGRJohn Daniels - VP Ops;;;;;;;",275
Dorner Company,(262) 932 2100,20-Jan,N61 W23043 Silver Spring Drive,,Sussex,Wisconsin,53089,United States,www.dornerco.com,Wholesalers,93290,1911,LF,;Tim Ruesch CEO;;;;;;;;,276
Doshi Associates Inc,(248) 689 6700,,,,Troy (MI),Michigan,,United States,www.doshigroup.net,,,,LF,There was no answer;I called and there was no answer.;;;;;;;;,277
DownEast,(800) 337 3076,200-499,375 West Hope Ave,,Salt Lake City,Utah,84115,United States,www.downeastbasics.com,Apparel and Fashion,,1991,LF,";Klane Murphy CEORich Israelsen COOSteve Pappas IT Mgr;;;;;;;;",278
Driv-Lok,(815) 315 1004,100-199,1140 Park Ave,,Sycamore,Illinois,60178,United States,www.driv-lok.com,Wholesalers,,1933,LF,;Seems that way. I'm going to reach out to Divya Behl: https://www.linkedin.com/in/divyavohra;MFG i  think--rick;;;;;;;,279
DSD Business Systems,(858) 550 5900,100-199,8787 Complex Dr,Suite 400,San Diego,California,92123,United States,www.dsdinc.com,Computing,62090,1984,LF,They look like competitors;;Doug Deane President dougd@dsdinc.com;;;;;;;,280
Dupli,(315) 472 1316,100-199,1 Dupli Park Dr,,Syracuse,New York,13204,United States,www.duplionline.com,Manufacturing,,1965,LF,;Pelco referral? Kemper Matt-not Matt Kemper (Pres) Stephen Elliott (VP IT) John Hudack (VP Ops) Todd Luchsinger (CFO);;;;;;;;,281
Duplicating Products Inc,(800) 633 8659,100-199,2305 Centennial Drive,,Gainesville,Georgia,30504,United States,www.duplicatingproducts.com,Printing,,1974,LF,;Looks like DIST - maybe could use some Rental functionality?;;;;;;;;,282
Durex Industries,(847) 639 5600,200-499,190 Detroit St,,Cary,Illinois,60013,United States,www.durexindustries.com,Manufacturing,94990,1980,LF,;;;;;;;;;,283
E-ONE,(352) 237 1122,500-999,1601 Southwest 37th Avenue,,Ocala,Florida,34474,United States,www.e-one.com,Automotive,,1974,LF,;From Data.com/LinkedIn: Don Wood Dir of Mfg; Joseph Belle Dir of Mfg; Don Hintz Dir of Ops Dev; Company is part of http://www.revgroup.com;redirects are in process - direct this visitor to https://xtupleuniversity.xtuple.com/library/manuals;;;;;;;,284
E2B Teknologies,(440) 352 4700,21-49,521 Fifth Ave,,Chardon,Ohio,44024,United States,www.e2btek.com,Computer Software,573401,2001,LF,;bhenslee@e2btek.com Bill Henslee CEO;;;;;;;;,285
East West Trading Corporation,(773) 930 3159,20-Jan,4848 W. Lawrence Ave,,Chicago,Illinois,60630,United States,www.fujimausa.com,Consumer Goods,,1971,LF,;;;;;;;;;,286
Eaton Center,(440) 523 5000,"2,000+",1000 Eaton Boulevard,,Cleveland,Ohio,44122,United States,www.eaton.com,Electrical/Electronic Manufacturing,,1911,LF,Will not call since we are not sure if it is a duplicate lead;duplicate lead?;;;;;;;;,287
eBox Inc,(416) 455 7045,,,,,,,United States,www.ebox.com,,,,LF,;using a very old edition of commercial version of the software - but do not have contact info - please get as much info as possible;;;;;;;;,288
Econocaribe Consolidators Inc,(305) 693 5133,200-499,2401 NW 69th St,,Miami,Florida,33147,United States,www.econocaribe.com,Maritime,,1968,LF,;;;;;;;;;,289
EdgeRock Technology Partners,(617) 412 4300,100-199,260 Franklin Street,11th Floor,Boston,Massachusetts,2110,United States,www.edgerock.com,Information Technology and Services,,2005,LF,"SAP;;partner prospect?missy;;;;;;;",290
Edmonton Exchanger,780 468 6722,,,,Edmonton (AB),,,Canada,www.edmontonexchanger.com,,,,LF,;interesting way they found us https://erp-systems.zone/system/xtuple;;;;;;;;,291
Edmonton Valve & Fitting Inc,(780) 437 0640,,,,Edmonton (AB),,,Canada,www.swagelok.com,,,,LF,;;;;;;;;;,292
EDSYN Inc,(818) 989 2324,21-49,15958 Arminta Street,,Van Nuys,California,91406,United States,www.edsyn.com,Electrical/Electronic Manufacturing,,1964,LF,Julie is the contact for IT she is na;;;;;;;;;,293
Edward Don & Company,(708) 442 9400,"1,000-1,999",9801 Adam Don Pkwy,,Woodridge,Illinois,60517,United States,www.don.com,Wholesalers,0,1921,LF,;did not convert on free demo signup-no contact info;;;;;;;;,294
Efficiency Inc,(888) 768 2888,20-Jan,4742 42nd Ave SW,Suite 468,Seattle,Washington,98116,United States,www.eff-inc.com,Wholesalers,0,1954,LF,;;;;;;;;;,295
EG Industries,(614) 219 1423,"2,000+",2030 Dividend Drive,,Columbus,Ohio,43228,United States,www.egi.net,Manufacturing,,1981,LF,;;;;;;;;;,296
Elcon Associates Inc,(503) 644 2490,100-199,12670 NW Barnes Road,,Portland,Oregon,97229,United States,www.elcon.com,Consultants,,1975,LF,;;;;;;;;;,297
Electric Motion Company Inc,(860) 738 6261,200-499,157 Colebrook River Rd,,Winsted,Connecticut,6098,United States,www.electricmotioncompany.com,Electrical/Electronic Manufacturing,,,LF,;;;;;;;;;,298
Electronic Cooling Solutions Inc,(408) 738 8331,,,,Santa Clara (CA),California,,United States,www.ecooling.com,,,,LF,Number on the net is the same as this and there is an electronic recording;Numbers are still the same will see if there is another one on the internet;The no for the CEO is out of service and the other number given is just a message machine.;Bill Maltz CEO wmaltz@ecooling.com 650-254-0422;https://xtuple.com/xtuple-is-pcmrp-replacement is the actual page (not sure how they got to the segment they did - they are NOT on the pc/MRP list:  Bill Maltz President; Tita Maltz Dir of Ops;;;;;,299
Elevator Controls Corporation,(800) 829 8106,100-199,6150 Warehouse Way,,Sacramento,California,95826,United States,www.elevatorcontrols.com,Electrical/Electronic Manufacturing,,,LF,;;;;;;;;;,300
Elk River Inc,(800) 633 3954,50-99,1202 26th Street Southwest,,Cullman,Alabama,35055,United States,www.elkriver.com,Health and Safety,,1988,LF,;no conversion on free demo signup; no contact;;;;;;;;,301
Ellery Homestyles LLC,(910) 843 4242,100-199,107 Tom Starling Rd,Suite 100,Fayetteville,North Carolina,20877,United States,www.elleryhomestyles.com,Wholesalers,,1947,LF,";DISTmissy;;;;;;;;",302
Ellison Retail,(800) 253 2238,200-499,25862 Commercentre Dr,,Lake Forest,California,92630,United States,www.ellison.com,Education,82990,1977,LF,;;;;;;;;;,303
Elope. Inc,(800) 553 5673,,,,Colorado Springs (CO),Colorado,,United States,www.elope.com,,,,LF,IT Manager not at his desk;not available;not available;;Kevin and Keith Johnson;;;;;,304
EMT International Inc,(920) 468 5475,100-199,780 Centerline Drive,,Hobart,Wisconsin,54155,United States,www.emtinternational.com,Machinery,,1936,LF,;search for configurator - page is now unpublished https://xtuple.com/marketplace/paladin-rule-based-configurator;;;;;;;;,305
Emuge Corporation,(800) 323 3013,"1,000-1,999",1800 Century Drive,,West Boylston,Massachusetts,1583,United States,www.emuge.com,Building Materials and Tools,0,1920,LF,;Bob Hellinger president; Derek Belanger IT bob.hellinger@emuge.com;;;;;;;;,306
Enablence Technologies Inc,(613) 656 2850,,,,Ottawa (ON),,,Canada,www.enablence.com,,,,LF,;;;;;;;;;,307
Enbridge Inc,(780) 420 5210,,,,Edmonton (AB),,,Canada,www.enbridge.com,,,,LF,;;;;;;;;;,308
Energy Recovery,(510) 483 7370,100-199,1717 Doolittle Dr,,San Leandro,California,94577,United States,www.energyrecovery.com,Manufacturing,,1992,LF,";mfgmissy;;;;;;;;",309
Enertrak Inc,(450) 973 2000,,,,Laval (QC),,,Canada,www.enertrak.com,,,,LF,;;;;;;;;;,310
Engineered Glass Products,(312) 326 4710,100-199,2857 South Halsted Street,,Chicago,Illinois,60608,United States,www.egpglass.com,"Glass, Ceramics and Concrete",,1947,LF,";Mike Hobbs CEO;Chris Hobbs VP/GM;checkout the url - someone trying to log into our website :/but still MFGmissy;;;;;;",311
Engineered Lifting Technologies,(855) 800 9568,21-49,3566 S Benzing Rd,,Orchard Park,New York,14127,United States,www.eltlift.com,Mechanical or Industrial Engineering,,,LF,;;;;;;;;;,312
EnovaPremier LLC,(502) 412 4406,,1630 Lyndon Farm CT,,Louisville,Kentucky,40223,United States,www.enovapremier.com,Manufacturing,,2007,LF,;;;;;;;;;,313
Enterprise Products,(713) 381 6500,"2,000+",1100 Louisiana St,,Houston,Texas,77002,United States,www.enterpriseproducts.com,Oil and Energy,,1968,LF,invite to 5/12 https://xtuple.com/roadshow-houston;;Paul Flynn Sr VP/CIO pflynn@eprod.com (713)381-6824;;;;;;;,314
Enver Solar,(714) 640 2344,100-199,17542 E 17th St,Suite 175,Tustin,California,92780,United States,www.enversolar.com,Manufacturing,,2012,LF,;;;;;;;;;,315
Enwaii,(330) 273 9600,20-Jan,50 Pearl Rd,Suite 307,Brunswick,Ohio,44212,United States,www.banzai-pipeline.com,Media Production,,2008,LF,;;;;;;;;;,316
EPI Printing & Finishing,(585) 262 7590,21-49,30 Bermar Park,Suite 2,Rochester,New York,14624,United States,www.epiprinting.com,Printing,,1968,LF,";PostBooksmissy;;;;;;;;",317
Epic Information Solutions,(204) 453 2300,,,,Winnipeg (MB),,,Canada,www.epic.ca,,,,LF,;partner opp?;;;;;;;;,318
Ergogenesis Workplace Solutions LLC,(800) 364 5299,100-199,One BodyBilt Place,,Navasota,Texas,77868,United States,www.bodybilt.com,Furniture,,,LF,IT not at their desk.;IT is not at their desk;Tony Gerbino CEO tgerbino@ErgoGenesis.com;;;;;;;,319
Essential Formulas Inc,(972) 255 3918,,,,Irving (TX),Texas,,United States,www.essentialformulas.com,,,,LF,Amy Alvitre aalvitre@essentialformulas.com ext201 on Invite list to Houston Roadshow but has NOT registered;;;;;;;;;,320
ETBO Tool and Die,(519) 773 5117,,,,Aylmer (ON),,,Canada,www.etbo.ca,,,,LF,;;;;;;;;;,321
Etratech Inc.,(905) 681 7544,,,,Burlington (ON),,,Canada,www.etratech.com,,,,LF,;;;;;;;;;,322
Euroline Windows Inc,(604) 940 8485,,,,Delta (BC),,,Canada,www.euroline-windows.com,,,,LF,;;;;;;;;;,323
Eutex International Inc,(832) 358 1177,100-199,3409 Brinkman St,,Houston,Texas,77018,United States,www.eutexinternational.com,Manufacturing,,1998,LF,;Nick Mair VP nmair@eutexinternational.com invite to 5/12 Houston event https://xtuple.com/roadshow-houston;;;;;;;;,324
Evonik Corporation,(251) 443 4000,"2,000+",4201 Evonik Rd,,Theodore,Alabama,36582,United States,www.evonik.com,Manufacturing,,2007,LF,;mfg;;;;;;;;,325
Evoqua Water Technologies LLC,(724) 772 0044,"2,000+",181 Thorn Hill Road,,Warrendale,Pennsylvania,15086,United States,www.evoqua.com,Environmental Services,0,,LF,;;;;;;;;;,326
Ewing Components Inc,(877) 394 6489,20-Jan,717 Ohio Avenue,,Wichita Falls,Texas,76301,United States,www.ewinginc.com,Semiconductors,,1981,LF,;;Paul Galan President; invite to Houston Roadshow;;;;;;;,327
Exchange,(214) 312 3300,"2,000+",3911 S Walton Walker Blvd,,Dallas,Texas,75236,United States,www.shopmyexchange.com,Retail,,1895,LF,;;;;;;;;;,328
Fabricmate Systems Inc,(866) 622 2996,21-49,2781 Golf Course Dr,Unit A,Ventura,California,93003,United States,www.fabricmatestore.com,Building Materials and Tools,0,1989,LF,He said right now things are going ok check back in the 3rd quarter of this year;Went with Odoo (competitor) Aug16 - call Larry Richardson (805)290-1440 to confirm - how is implementation going? is Odoo ERP all that they needed?;;Went with Odoo 8.16.2016;mfg--rick;;;;;,329
Family Video,(309) 291 0445,"2,000+",600 South Main St,,Morton,Illinois,61550,United States,www.familyvideo.com,Retail,,1978,LF,;;;;;;;;;,330
Famous Smoke Shop-PA Inc,(800) 564 2486,100-199,90 Mort Dr,,Easton,Pennsylvania,18040,United States,www.famous-smoke.com,Retail,,1939,LF,;;;;;;;;;,331
Federal Premium Ammunition,(800) 379 1732,,900 Ehlen,,Anoka,Minnesota,55303,United States,www.federalpremium.com,Apparel and Fashion,,1922,LF,;CEO Mark W. DeYoung;;;;;;;;,332
Ferguson Enterprises,(757) 417 3950,"2,000+",1577 Laskin Road,,Virginia Beach,Virginia,23451,United States,www.ferguson.com,Wholesalers,0,1953,LF,NO prompts to reach the individuals and you need a name no operator available;;local to xTuple HQ - Missy knows mktg people there;;;;;;;,333
Ferguson Pape Baldwin Architects,(619) 231 0751,21-49,4499 Ruffin Road,Suite 300,San Diego,California,92123,United States,www.fpbarch.com,Architecture and Planning,,1976,LF,;info@dmlightingtech.com James Deng Ops Mgr - signed up for free demo;;;;;;;;,334
Fetch Logistics Inc,(716) 689 7412,100-199,25 Northpointe Parkway,Suite 200,Amherst,New York,14228,United States,www.fetchlogistics.com,Logistics and Supply Chain,,1997,LF,;Calvin Ticoalu; Software/IT - having trouble w/PB?;;;;;;;;,335
Fibrocell Science Inc,(484) 713 6000,100-199,405 Eagleview Blvd,,Exton,Pennsylvania,19341,United States,www.fibrocellscience.com,Pharmaceuticals,73200,1995,LF,";mfgmissy;;;;;;;;",336
Finishing Brands,(419) 470 2000,500-999,320 Phillips Avenue,,Toledo,Ohio,43612,United States,www.finishingbrands.com,Building and Maintenance Services,,,LF,;Joe Koren IT;;;;;;;;,337
FirstSTREET for Boomers and Beyond Inc,(800) 958 8324,100-199,1998 Ruffin Mill Rd,,Colonial Heights,Virginia,23834,United States,www.firststreetonline.com,Consumer Goods,,,LF,eComm prospect?;;Patty Jagger President Patty@firststreetonline.com local VA company - found us via 757Angels;;;;;;;,338
Flagship Brands LLC,(888) 801 7227,21-49,425 N McLin Creek Road,,Conover,North Carolina,28613,United States,www.feeturesrunning.com,Apparel and Fashion,0,2002,LF,Hugh Gaither president;;Hugh Gaither & sons; John & Joe hgaither@feeturesrunning.com;;;;;;;,339
Flame Spray North America Inc,(864) 862 2730,200-499,576 International Blvd,,Fountain Inn,South Carolina,29644,United States,www.flamespray.org,Manufacturing,0,1969,LF,;Marco Prosperini CEO;;;;;;;;,340
Fleetwood Windows & Doors,(800) 736 7363,200-499,1 Fleetwood Way,,Corona,Colorado,92879,United States,www.fleetwoodusa.net,Building Materials and Tools,,1961,LF,Jenny in IT is away from her desk;;;;;;;;;,341
Flexcon,(508) 885 8200,"1,000-1,999",1 FLEXcon Industrial Park,,Spencer,Massachusetts,1562,United States,www.flexcon.com,Plastics,0,1956,LF,;;;;;;;;;,342
Flow Dynamics & Automation Inc,(205) 581 1200,21-49,1024 11 Court West,,Birmingham,Alabama,35204,United States,www.flowdynamics.net,Manufacturing,,1994,LF,;;;;;;;;;,343
Fluitron Inc,(215) 355 9970,,30 Industrial Dr,,Ivyland,Pennsylvania,18974,United States,www.fluitron.com,Manufacturing,,,LF,EXT 109 IT Manager is not at his desk.;;Tony Chiccarine; president;;;;;;;,344
Fluke,(425) 347 6100,"2,000+",6920 Seaway Blvd,,Everett,Washington,98203,United States,www.fluke.com,Electrical/Electronic Manufacturing,,1948,LF,;;;;;;;;;,345
Fluorolite Plastics,(508) 788 1200,,,,Framingham (MA),Massachusetts,,United States,www.fluorolite.com,,,,LF,;;;;;;;;;,346
Foodspotting Inc,(415) 320 7768,,,,San Francisco (CA),California,,United States,,,,,LF,This was an odd looking one in dogfood.  I don't have any connection here.  Putting it back into Leadgen;vernoncurry@outlook.com via FT signup;;;;;;;;,347
Forte Automation Systems Inc,(815) 633 2300,50-99,8155 Burden Rd,,Machesney Park,Illinois,61115,United States,www.forteautomation.com,Manufacturing,69109,1985,LF,;;;;;;;;;,348
Four Roses Bourbon,(502) 839 3436,21-49,1224 Bonds Mill Road,,Lawrenceburg,Kentucky,40342,United States,www.fourrosesbourbon.com,Manufacturing,0,1888,LF,;;;;;;;;;,349
Fox Scientific Inc,(800) 369 5224,21-49,8221 E. FM 917,,Alvarado,Texas,76009,United States,www.foxscientific.com,Manufacturing,,1988,LF,;;;;;;;;;,350
Frankel Building Group,(713) 623 4646,,,,Houston (TX),Texas,,United States,www.frankelbuildinggroup.com,,,,LF,"No answer;;invite to Houston event 5/12 - https://xtuple.com/join-us-2017-xtuple-roadshowJim Frankel-dad; Kevin & Scott-sons/co-presidents; kf@frankelbuildinggroup.com; sf@frankelbuildinggroup.com;I reached their answering service.;;;;;;",351
Franklin Miller_Inc,(800) 932 0599,21-49,60 Okner Pkwy,,Livingston,New Jersey,7039,United States,www.franklinmiller.com,Machinery,,1918,LF,;;;;;;;;;,352
Frederick Logan Company Inc,(724) 776 9300,,140 Commonwealth Dr,,Warrendale,Pennsylvania,15086,United States,www.floco.com,Wholesalers,0,1984,LF,IT is offsite;;;;;;;;;,353
Freight Handlers Inc,(800) 849 3132,"2,000+",310 N Judd Pkwy NE,,Fuquay Varina,North Carolina,27526,United States,www.freighthandlers.com,Business Services,,1991,LF,;;;;;;;;;,354
French Ellison Truck Center,(800) 455 9177,,9010 IH-10 East,,Converse,Texas,78109,United States,www.frenchellison.com,Car and Vehicle Sales,,1968,LF,;;;;;;;;;,355
Freres Lumber Co Inc,(503) 859 2121,200-499,141 14th Street,,Lyons,Oregon,97358,United States,www.frereslumber.com,Manufacturing,69109,1922,LF,;;;;;;;;;,356
Freudenberg,(706) 865 1665,"2,000+",1 Nok Drive,,Cleveland,Georgia,30528,United States,www.fnst.com,Manufacturing,71111,1849,LF,;;;;;;;;;,357
Frid and Russell Co Ltd,(905) 332 0323,,,,Burlington (ON),,,Canada,www.fridandrussell.com,,,,LF,;;;;;;;;;,358
Friesens Corporation,(204) 324 6401,,,,Altona (MB),,,Canada,www.friesens.com,,,,LF,;;;;;;;;;,359
Frontier Bolt,(817) 477 5319,,555 Airport Drive,,Mansfield,Texas,76063,United States,www.frontierbolt.com,Manufacturing,,,LF,She said she is not interested.  She runs the operation and said that we have not used their software or investigated ERP?;Cheris can be reached at 254-773-1771.  Not available.;;Cheris Knight cheris@frontierbolt.com manager https://www.linkedin.com/in/cheris-adcock-knight-57419359/;;;;;;,360
Fulham,(323) 779 2980,500-999,12705 South Van Ness Ave,,Hawthorne,California,90250,United States,www.fulham.com,Wholesalers,,,LF,IT is outsourced there is no one to talk to.;;;;;;;;;,361
FUTEK Advanced Sensor Technology Inc,(949) 465 0900,100-199,10 Thomas,,Irvine,California,92618,United States,www.futek.com,Manufacturing,,1988,LF,;Siamak Fallahi fallahi@futek.com;;;;;;;;,362
G Klemm Roofing Co,(630) 232 9010,,,,Geneva (IL),Illinois,,United States,www.gklemmroofing.com,,,,LF,;;;;;;;;;,363
GAF Fiber Glass,(973) 628 3000,"2,000+",1 Campus Drive,,Parsippany,New Jersey,7054,United States,www.gaf.com,Building Materials and Tools,,1886,LF,;;;;;;;;;,364
Gainesville Mechanical Inc,(770) 532 9130,100-199,2519 Monroe Drive,,Gainesville,Georgia,30507,United States,www.gainesvillemechanical.com,Construction,,1989,LF,;;;;;;;;;,365
Gaither Petroleum Corporation,(281) 994 5400,21-49,16600 Park Row,,Houston,Texas,77084,United States,www.gpcoil.co,Oil and Energy,56101,1985,LF,;CEO Duane.Gaither@gpcoil.co;;;;;;;;,366
GAL Canada,(888) 425 2262,,,,Mississauga (ON),,,Canada,www.galcanada.com,,,,LF,;;;;;;;;;,367
Galgas Russell Weber LLP,(818) 444 6700,21-49,21700 Oxnard Street,Suite 1950,Woodland Hills,California,91367,United States,www.grwllp.com,Accounting,,,LF,;;;;;;;;;,368
Gamma Technologies,(630) 325 5848,100-199,601 Oakmont Lane,Suite 220,Westmont,Illinois,60559,United States,www.gtisoft.com,Training Providers,,1994,LF,;;;;;;;;;,369
Gandy Ink,(800) 999 8137,100-199,2027 Industrial Ave,,San Angelo,Texas,76904,United States,www.gandyink.com,Manufacturing,275902,1988,LF,Not at his desk;Chris Martin the IT Manager is not in his office;;;;;;;;,370
Garmin Ltd,(913) 397 8200,"2,000+",1200 E 151st St,,Olathe,Kansas,66062,United States,www.garmin.com,Electrical/Electronic Manufacturing,,1989,LF,;;;;;;;;;,371
Gates Corporation,(303) 744 1911,"2,000+",1551 Wewatta Street,,Denver,Colorado,80202,United States,www.gates.com,Wholesalers,,1911,LF,;;;;;;;;;,372
Gearhead Production Rentals,(503) 542 3990,20-Jan,4720 SE 26th Avenue,,Portland,Oregon,97202,United States,www.gearheadgrip.com,Engineering,55100,2005,LF,All IT matters are outsourced.;Receptionist and staff are not at their desk;;;;;;;;,373
Gedney Foods Company,(952) 448 2612,100-199,2100 Stoughton Ave,,Chaska,Minnesota,55318,United States,www.gedneypickle.com,Food and Beverages,,1881,LF,;;;;;;;;;,374
Gemaire Distributors,(954) 246 2665,500-999,2151 West Hillsboro Boulevard,Suite 400,Deerfield Beach,Florida,33442,United States,www.gemaire.com,Wholesalers,,1969,LF,;;;;;;;;;,375
General Dynamics Information Technology,(800) 242 0230,"2,000+",3211 Jermantown Road,,Fairfax,Virginia,22030,United States,www.gdit.com,Computer Software,0,,LF,;know Wally - Dean Banes Manager edward.banes@gdit.com; bronson.armstrong@gdit.com IT; russell.gilbertson@gdit.com;GDIT;;;;;;;,376
General Electric Company,(203) 373 2211,"2,000+",3135 Easton Tpke,,Fairfield,Connecticut,6828,United States,www.ge.com,Electrical/Electronic Manufacturing,86230,1892,LF,;;;Wally met Sep16 at Pipe&Tube show in Charlotte jeff.stetson@ge.com GE Inspection Technologies LLC & frank.joy@ge.com GE/Global Nuclear Fuel;;;;;;,377
General Mills Inc,(763) 764 7600,"2,000+",1 General Mills Blvd,,Minneapolis,Minnesota,55426,United States,www.generalmills.com,Food and Beverages,71129,1928,LF,;;;;;;;;;,378
Genuine Parts Company,(770) 953 1700,"2,000+",2999 Wildwood Pkwy,,Atlanta,Georgia,30339,United States,www.genpt.com,Automotive,,1928,LF,"receptionist switched me to a fax machine;;IP checks out as correct!;check RSS hitsfelix@feltrade.ch	Felix	Ortner	Feltrade AGruss@gammatool.com	Russ	Otto	GAMMATOOL; LLC;dist--rick;;;;;",379
Gesco Industries Inc,(604) 520 6660,,,,Delta (BC),,,Canada,,,,,LF,;;;;;;;;;,380
GHX Industrial LLC,(713) 222 2231,500-999,3440 S Sam Houston Pkwy E,Suite 300,Houston,Texas,77047,United States,www.ghxinc.com,Wholesalers,,,LF,;Richard Harrison rharrison@ghxinc.com was on invite list to Houston Roadshow but has NOT registered - please call!;;;;;;;;,381
Gilead Sciences Inc,(800) 445 3235,"2,000+",333 Lakeside Dr,,Foster City,California,94404,United States,www.gilead.com,Manufacturing,32990,1987,LF,not available;;;;;;;;;,382
Givens Transportation Inc,(757) 233 4300,200-499,1720 S Military Hwy,,Chesapeake,Virginia,23320,United States,www.givens.com,Transportation/Trucking/Railroad,,,LF,";know someone here? they're all about searching for you ...Missy;these are ALL visitors who have hit Distribution and eCommerce pages;;;;;;;",383
Gladstein Neandross & Associates,(310) 314 1934,21-49,2525 Ocean Park Boulevard,Suite 200,Santa Monica,,90405,United States,www.gladstein.org,Environmental Services,,1993,LF,;Erik Neandross CEO; Cliff Gladstein president (may know our customer Blair Signs);;;;;;;;,384
Glastender Inc,(800) 748 0423,100-199,5400 N Michigan Rd,,Saginaw,Michigan,48604,United States,www.glastender.com,Manufacturing,86101,1969,LF,;;;;;;;;;,385
Glatfelter Inc,(717) 225 4711,,,,Spring Grove (PA),Pennsylvania,,United States,www.glatfelter.com,,,,LF,;;;;;;;;;,386
